"Município";"Quantidade_aprovada"
292210 Mundo Novo;2333
292220 Muniz Ferreira;2099
292225 Muquém de São Francisco;1688
292230 Muritiba;2780
292240 Mutuípe;2757
292250 Nazaré;4397
292260 Nilo Peçanha;1199
292265 Nordestina;810
292270 Nova Canaã;1795
292273 Nova Fátima;204
292275 Nova Ibiá;1091
292280 Nova Itarana;928
292285 Nova Redenção;1002
292290 Nova Soure;1099
292300 Nova Viçosa;2594
292303 Novo Horizonte;1468
292305 Novo Triunfo;642
292310 Olindina;2477
292320 Oliveira dos Brejinhos;1402
292330 Ouriçangas;678
292335 Ourolândia;887
292340 Palmas de Monte Alto;713
292350 Palmeiras;1328
292360 Paramirim;957
292370 Paratinga;2444
292380 Paripiranga;1207
292390 Pau Brasil;508
292400 Paulo Afonso;11978
292405 Pé de Serra;1087
292410 Pedrão;266
292420 Pedro Alexandre;1037
292430 Piatã;1163
292440 Pilão Arcado;1986
292450 Pindaí;635
292460 Pindobaçu;2569
292465 Pintadas;461
292467 Piraí do Norte;530
292470 Piripá;227
292480 Piritiba;2874
292490 Planaltino;889
292500 Planalto;1743
292510 Poções;3895
292520 Pojuca;4242
292525 Ponto Novo;2129
292530 Porto Seguro;33265
292540 Potiraguá;173
292550 Prado;1734
292560 Presidente Dutra;1699
292570 Presidente Jânio Quadros;1506
292575 Presidente Tancredo Neves;3546
292580 Queimadas;2264
292590 Quijingue;1169
292593 Quixabeira;1052
292595 Rafael Jambeiro;709
292600 Remanso;2650
292610 Retirolândia;1276
292620 Riachão das Neves;4420
292630 Riachão do Jacuípe;4940
292640 Riacho de Santana;1391
292650 Ribeira do Amparo;1710
292660 Ribeira do Pombal;4717
292665 Ribeirão do Largo;511
292670 Rio de Contas;1083
292680 Rio do Antônio;791
292690 Rio do Pires;416
292700 Rio Real;2635
292710 Rodelas;599
292720 Ruy Barbosa;2972
292730 Salinas da Margarida;1581
292740 Salvador;558701
292750 Santa Bárbara;1191
292760 Santa Brígida;604
292770 Santa Cruz Cabrália;2803
292780 Santa Cruz da Vitória;531
292790 Santa Inês;579
292805 Santa Luzia;851
292810 Santa Maria da Vitória;7709
292840 Santa Rita de Cássia;4978
292850 Santa Teresinha;838
292800 Santaluz;4011
292820 Santana;5715
292830 Santanópolis;112
292860 Santo Amaro;3890
292870 Santo Antônio de Jesus;16522
292880 Santo Estêvão;5152
292890 São Desidério;10255
292895 São Domingos;747
292910 São Felipe;1786
292900 São Félix;959
292905 São Félix do Coribe;2248
292920 São Francisco do Conde;3088
292925 São Gabriel;2807
292930 São Gonçalo dos Campos;3504
292935 São José da Vitória;871
292937 São José do Jacuípe;639
292940 São Miguel das Matas;1639
292950 São Sebastião do Passé;4280
292960 Sapeaçu;2947
292970 Sátiro Dias;2557
292975 Saubara;2555
292980 Saúde;1318
292990 Seabra;5510
293000 Sebastião Laranjeiras;396
293010 Senhor do Bonfim;6151
293020 Sento Sé;3151
293015 Serra do Ramalho;1163
293030 Serra Dourada;1837
293040 Serra Preta;636
293050 Serrinha;6994
293060 Serrolândia;923
293070 Simões Filho;20962
293075 Sítio do Mato;382
293076 Sítio do Quinto;461
293077 Sobradinho;3052
293080 Souto Soares;1969
293090 Tabocas do Brejo Velho;1222
293100 Tanhaçu;1930
293105 Tanque Novo;1538
293110 Tanquinho;1727
293120 Taperoá;1366
293130 Tapiramutá;1383
293135 Teixeira de Freitas;21936
293140 Teodoro Sampaio;1226
293150 Teofilândia;2366
293160 Teolândia;1012
293170 Terra Nova;1090
293180 Tremedal;1975
293190 Tucano;3872
293200 Uauá;2342
293210 Ubaíra;1513
293220 Ubaitaba;1664
293230 Ubatã;1166
293240 Uibaí;1158
293245 Umburanas;947
293250 Una;4737
293260 Urandi;1476
293270 Uruçuca;1144
293280 Utinga;1262
293290 Valença;14175
293300 Valente;1634
293305 Várzea da Roça;687
293310 Várzea do Poço;215
293315 Várzea Nova;947
293317 Varzedo;1137
293320 Vera Cruz;5303
293325 Vereda;828
293330 Vitória da Conquista;57112
293340 Wagner;751
293345 Wanderley;4789
293350 Wenceslau Guimarães;531
293360 Xique-Xique;2953
310010 Abadia dos Dourados;436
310020 Abaeté;3421
310030 Abre Campo;1425
310040 Acaiaca;915
310050 Açucena;1971
310060 Água Boa;792
310070 Água Comprida;123
310080 Aguanil;191
310090 Águas Formosas;2926
310100 Águas Vermelhas;796
310110 Aimorés;6403
310120 Aiuruoca;738
310130 Alagoa;247
310140 Albertina;503
310150 Além Paraíba;5166
310160 Alfenas;17620
310163 Alfredo Vasconcelos;2255
310170 Almenara;6351
310180 Alpercata;1692
310190 Alpinópolis;2442
310200 Alterosa;3709
310205 Alto Caparaó;663
315350 Alto Jequitibá;1539
310210 Alto Rio Doce;2617
310220 Alvarenga;1020
310230 Alvinópolis;1302
310240 Alvorada de Minas;313
310250 Amparo do Serra;1295
310260 Andradas;4609
310280 Andrelândia;3011
310285 Angelândia;930
310290 Antônio Carlos;3624
310300 Antônio Dias;1046
310310 Antônio Prado de Minas;539
310320 Araçaí;700
310330 Aracitaba;518
310340 Araçuaí;2716
310350 Araguari;32037
310360 Arantina;277
310370 Araponga;1159
310375 Araporã;1083
310380 Arapuá;149
310390 Araújos;888
310400 Araxá;19185
310410 Arceburgo;914
310420 Arcos;7065
310430 Areado;2913
310440 Argirita;297
310445 Aricanduva;1087
310450 Arinos;959
310460 Astolfo Dutra;2069
310470 Ataléia;1337
310480 Augusto de Lima;685
310490 Baependi;4384
310500 Baldim;959
310510 Bambuí;7212
310520 Bandeira;588
310530 Bandeira do Sul;547
310540 Barão de Cocais;3650
310550 Barão de Monte Alto;1081
310560 Barbacena;42093
310570 Barra Longa;1496
310590 Barroso;4139
310600 Bela Vista de Minas;3811
310610 Belmiro Braga;101
310620 Belo Horizonte;332685
310630 Belo Oriente;5772
310640 Belo Vale;821
310650 Berilo;507
310665 Berizal;1315
310660 Bertópolis;1301
310670 Betim;30185
310680 Bias Fortes;448
310690 Bicas;4126
310700 Biquinhas;168
310710 Boa Esperança;4863
310720 Bocaina de Minas;675
310730 Bocaiúva;3522
310740 Bom Despacho;6189
310750 Bom Jardim de Minas;992
310760 Bom Jesus da Penha;391
310770 Bom Jesus do Amparo;2070
310780 Bom Jesus do Galho;3345
310790 Bom Repouso;2540
310800 Bom Sucesso;2413
310810 Bonfim;249
310820 Bonfinópolis de Minas;859
310825 Bonito de Minas;225
310830 Borda da Mata;4381
310840 Botelhos;1426
310850 Botumirim;289
310870 Brás Pires;1204
310855 Brasilândia de Minas;980
310860 Brasília de Minas;2375
310880 Braúnas;764
310890 Brazópolis;3656
310900 Brumadinho;4227
310910 Bueno Brandão;2134
310920 Buenópolis;1213
310925 Bugre;614
310930 Buritis;4010
310940 Buritizeiro;2897
310945 Cabeceira Grande;1553
310950 Cabo Verde;2114
310960 Cachoeira da Prata;1150
310970 Cachoeira de Minas;4667
310270 Cachoeira de Pajeú;776
310980 Cachoeira Dourada;290
310990 Caetanópolis;1665
311000 Caeté;7999
311010 Caiana;1240
311020 Cajuri;3217
311030 Caldas;2228
311040 Camacho;359
311050 Camanducaia;6241
311060 Cambuí;3693
311070 Cambuquira;1699
311080 Campanário;527
311090 Campanha;1551
311100 Campestre;5121
311110 Campina Verde;3163
311115 Campo Azul;34
311120 Campo Belo;5938
311130 Campo do Meio;2063
311140 Campo Florido;761
311150 Campos Altos;1332
311160 Campos Gerais;3492
311190 Cana Verde;1021
311170 Canaã;1595
311180 Canápolis;1609
311200 Candeias;2239
311205 Cantagalo;433
311210 Caparaó;783
311220 Capela Nova;267
311230 Capelinha;6252
311240 Capetinga;782
311250 Capim Branco;626
311260 Capinópolis;1904
311265 Capitão Andrade;975
311270 Capitão Enéas;776
311280 Capitólio;1828
311290 Caputira;384
311300 Caraí;1438
311310 Caranaíba;319
311320 Carandaí;3675
311330 Carangola;11307
311340 Caratinga;23854
311350 Carbonita;700
311360 Careaçu;4105
311370 Carlos Chagas;2869
311380 Carmésia;252
311390 Carmo da Cachoeira;1461
311400 Carmo da Mata;1417
311410 Carmo de Minas;2143
311420 Carmo do Cajuru;3498
311430 Carmo do Paranaíba;1873
311440 Carmo do Rio Claro;3985
311450 Carmópolis de Minas;3154
311455 Carneirinho;754
311460 Carrancas;125
311470 Carvalhópolis;924
311480 Carvalhos;328
311490 Casa Grande;526
311500 Cascalho Rico;1698
311510 Cássia;2929
311530 Cataguases;17454
311535 Catas Altas;711
311540 Catas Altas da Noruega;179
311545 Catuji;875
311547 Catuti;1055
311550 Caxambu;2501
311560 Cedro do Abaeté;389
311570 Central de Minas;1895
311580 Centralina;873
311590 Chácara;196
311600 Chalé;1344
311610 Chapada do Norte;1516
311615 Chapada Gaúcha;2303
311620 Chiador;1891
311630 Cipotânea;1602
311640 Claraval;46
311650 Claro dos Poções;861
311660 Cláudio;4711
311670 Coimbra;1364
311680 Coluna;852
311690 Comendador Gomes;426
311700 Comercinho;1017
311710 Conceição da Aparecida;2040
311520 Conceição da Barra de Minas;712
311730 Conceição das Alagoas;4071
311720 Conceição das Pedras;155
311740 Conceição de Ipanema;498
311750 Conceição do Mato Dentro;2359
311760 Conceição do Pará;2101
311770 Conceição do Rio Verde;1255
311780 Conceição dos Ouros;1893
311783 Cônego Marinho;296
311787 Confins;1324
311790 Congonhal;1781
311800 Congonhas;11419
311810 Congonhas do Norte;603
311820 Conquista;954
311830 Conselheiro Lafaiete;20897
311840 Conselheiro Pena;3420
311850 Consolação;152
311860 Contagem;69685
311870 Coqueiral;1066
311880 Coração de Jesus;1448
311890 Cordisburgo;587
311900 Cordislândia;187
311910 Corinto;4438
311920 Coroaci;1849
311930 Coromandel;3349
311940 Coronel Fabriciano;32869
311950 Coronel Murta;347
311960 Coronel Pacheco;264
311970 Coronel Xavier Chaves;1596
311980 Córrego Danta;1091
311990 Córrego do Bom Jesus;252
311995 Córrego Fundo;1203
312000 Córrego Novo;1544
312010 Couto de Magalhães de Minas;658
312015 Crisólita;207
312020 Cristais;3554
312030 Cristália;375
312040 Cristiano Otoni;1368
312050 Cristina;1645
312060 Crucilândia;372
312070 Cruzeiro da Fortaleza;469
312080 Cruzília;2636
312083 Cuparaque;1943
312087 Curral de Dentro;809
312090 Curvelo;12183
312100 Datas;424
312110 Delfim Moreira;1017
312120 Delfinópolis;1468
312125 Delta;919
312130 Descoberto;1573
312140 Desterro de Entre Rios;2288
312150 Desterro do Melo;506
312160 Diamantina;9856
312170 Diogo de Vasconcelos;802
312180 Dionísio;1079
312190 Divinésia;611
312200 Divino;3966
312210 Divino das Laranjeiras;211
312220 Divinolândia de Minas;558
312230 Divinópolis;34831
312235 Divisa Alegre;487
312240 Divisa Nova;509
312245 Divisópolis;326
312247 Dom Bosco;301
312250 Dom Cavati;1353
312260 Dom Joaquim;902
312270 Dom Silvério;2456
312280 Dom Viçoso;489
312290 Dona Eusébia;952
312300 Dores de Campos;2175
312310 Dores de Guanhães;819
312320 Dores do Indaiá;2182
312330 Dores do Turvo;1472
312340 Doresópolis;143
312350 Douradoquara;126
312352 Durandé;1218
312360 Elói Mendes;3019
312370 Engenheiro Caldas;1902
312380 Engenheiro Navarro;694
312385 Entre Folhas;1636
312390 Entre Rios de Minas;5175
312400 Ervália;3322
312410 Esmeraldas;12688
312420 Espera Feliz;4314
312430 Espinosa;2245
312440 Espírito Santo do Dourado;2435
312450 Estiva;2290
312460 Estrela Dalva;241
312470 Estrela do Indaiá;1013
312480 Estrela do Sul;851
312490 Eugenópolis;2221
312500 Ewbank da Câmara;1222
312510 Extrema;3960
312520 Fama;359
312530 Faria Lemos;1532
312540 Felício dos Santos;1282
312560 Felisburgo;439
312570 Felixlândia;2605
312580 Fernandes Tourinho;160
312590 Ferros;3290
312595 Fervedouro;2493
312600 Florestal;453
312610 Formiga;15790
312620 Formoso;894
312630 Fortaleza de Minas;1286
312640 Fortuna de Minas;434
312650 Francisco Badaró;195
312660 Francisco Dumont;146
312670 Francisco Sá;1431
312675 Franciscópolis;325
312680 Frei Gaspar;479
312690 Frei Inocêncio;1155
312695 Frei Lagonegro;357
312700 Fronteira;421
312705 Fronteira dos Vales;219
312707 Fruta de Leite;793
312710 Frutal;4887
312720 Funilândia;580
312730 Galiléia;655
312733 Gameleiras;851
312735 Glaucilândia;258
312737 Goiabeira;960
312738 Goianá;1471
312740 Gonçalves;542
312750 Gonzaga;916
312760 Gouveia;1648
312770 Governador Valadares;59657
312780 Grão Mogol;769
312790 Grupiara;54
312800 Guanhães;5115
312810 Guapé;3922
312820 Guaraciaba;1747
312825 Guaraciama;292
312830 Guaranésia;3273
312840 Guarani;1860
312850 Guarará;762
312860 Guarda-Mor;322
312870 Guaxupé;8750
312880 Guidoval;783
312890 Guimarânia;760
312900 Guiricema;1773
312910 Gurinhatã;370
312920 Heliodora;1072
312930 Iapu;2311
312940 Ibertioga;1919
312950 Ibiá;3013
312960 Ibiaí;1253
312965 Ibiracatu;385
312970 Ibiraci;1598
312980 Ibirité;23878
312990 Ibitiúra de Minas;542
313000 Ibituruna;325
313005 Icaraí de Minas;338
313010 Igarapé;2739
313020 Igaratinga;1141
313030 Iguatama;1482
313040 Ijaci;485
313050 Ilicínea;1819
313055 Imbé de Minas;608
313060 Inconfidentes;2040
313065 Indaiabira;1784
313070 Indianópolis;1365
313080 Ingaí;417
313090 Inhapim;7678
313100 Inhaúma;807
313110 Inimutaba;420
313115 Ipaba;4904
313120 Ipanema;1942
313130 Ipatinga;64536
313140 Ipiaçu;1583
313150 Ipuiúna;1223
313160 Iraí de Minas;1297
313170 Itabira;24123
313180 Itabirinha;1072
313190 Itabirito;10993
313200 Itacambira;124
313210 Itacarambi;701
313220 Itaguara;1329
313230 Itaipé;1827
313240 Itajubá;25255
313250 Itamarandiba;4726
313260 Itamarati de Minas;1020
313270 Itambacuri;4332
313280 Itambé do Mato Dentro;500
313290 Itamogi;2471
313300 Itamonte;2383
313310 Itanhandu;2754
313320 Itanhomi;1537
313330 Itaobim;1917
313340 Itapagipe;544
313350 Itapecerica;3778
313360 Itapeva;823
313370 Itatiaiuçu;3269
313375 Itaú de Minas;3642
313380 Itaúna;13287
313390 Itaverava;938
313400 Itinga;1164
313410 Itueta;942
313420 Ituiutaba;21913
313430 Itumirim;339
313440 Iturama;4095
313450 Itutinga;449
313460 Jaboticatubas;2406
313470 Jacinto;1580
313480 Jacuí;1341
313490 Jacutinga;2642
313500 Jaguaraçu;338
313505 Jaíba;3794
313507 Jampruca;1449
313510 Janaúba;11317
313520 Januária;2338
313530 Japaraíba;52
313535 Japonvar;122
313540 Jeceaba;3101
313545 Jenipapo de Minas;1035
313550 Jequeri;3198
313560 Jequitaí;983
313570 Jequitibá;975
313580 Jequitinhonha;1206
313590 Jesuânia;495
313600 Joaíma;717
313610 Joanésia;1324
313620 João Monlevade;28513
313630 João Pinheiro;8192
313640 Joaquim Felício;85
313650 Jordânia;601
313652 José Gonçalves de Minas;95
313655 José Raydan;228
313657 Josenópolis;627
313665 Juatuba;2638
313670 Juiz de Fora;123038
313680 Juramento;261
313690 Juruaia;1328
313695 Juvenília;555
313700 Ladainha;1003
313710 Lagamar;415
313720 Lagoa da Prata;6243
313730 Lagoa dos Patos;409
313740 Lagoa Dourada;3277
313750 Lagoa Formosa;1540
313753 Lagoa Grande;403
313760 Lagoa Santa;8973
313770 Lajinha;3493
313780 Lambari;1869
313790 Lamim;349
313800 Laranjal;827
313810 Lassance;799
313820 Lavras;11533
313830 Leandro Ferreira;45
313835 Leme do Prado;224
313840 Leopoldina;10278
313850 Liberdade;915
313860 Lima Duarte;4174
313862 Limeira do Oeste;482
313865 Lontra;598
313867 Luisburgo;620
313868 Luislândia;324
313870 Luminárias;865
313880 Luz;3171
313890 Machacalis;705
313900 Machado;4608
313910 Madre de Deus de Minas;1303
313920 Malacacheta;3941
313925 Mamonas;728
313930 Manga;1939
313940 Manhuaçu;9750
313950 Manhumirim;3562
313960 Mantena;6539
313980 Mar de Espanha;2222
313970 Maravilhas;1318
313990 Maria da Fé;4465
314000 Mariana;18333
314010 Marilac;1559
314015 Mário Campos;1932
314020 Maripá de Minas;413
314030 Marliéria;1850
314040 Marmelópolis;732
314050 Martinho Campos;1456
314053 Martins Soares;1658
314055 Mata Verde;487
314060 Materlândia;1355
314070 Mateus Leme;4329
317150 Mathias Lobato;677
314080 Matias Barbosa;4283
314085 Matias Cardoso;629
314090 Matipó;4165
314100 Mato Verde;1712
314110 Matozinhos;4364
314120 Matutina;210
314130 Medeiros;706
314140 Medina;2438
314150 Mendes Pimentel;617
314160 Mercês;1923
314170 Mesquita;1485
314180 Minas Novas;4067
314190 Minduri;262
314200 Mirabela;1405
314210 Miradouro;2105
314220 Miraí;2720
314225 Miravânia;93
314230 Moeda;727
314240 Moema;1585
314250 Monjolos;702
314260 Monsenhor Paulo;511
314270 Montalvânia;1139
314280 Monte Alegre de Minas;3391
314290 Monte Azul;2965
314300 Monte Belo;2180
314310 Monte Carmelo;9041
314315 Monte Formoso;151
314320 Monte Santo de Minas;2573
314340 Monte Sião;4075
314330 Montes Claros;38260
314345 Montezuma;664
314350 Morada Nova de Minas;1216
314360 Morro da Garça;472
314370 Morro do Pilar;523
314380 Munhoz;1214
314390 Muriaé;27218
314400 Mutum;2703
314410 Muzambinho;3624
314420 Nacip Raydan;246
314430 Nanuque;4557
314435 Naque;916
314437 Natalândia;131
314440 Natércia;296
314450 Nazareno;712
314460 Nepomuceno;2926
314465 Ninheira;950
314467 Nova Belém;56
314470 Nova Era;2539
314480 Nova Lima;18032
314490 Nova Módica;484
314500 Nova Ponte;2045
314505 Nova Porteirinha;1490
314510 Nova Resende;1538
314520 Nova Serrana;13152
313660 Nova União;1802
314530 Novo Cruzeiro;2928
314535 Novo Oriente de Minas;2505
314537 Novorizonte;487
314540 Olaria;495
314545 Olhos-d'Água;288
314550 Olímpio Noronha;421
314560 Oliveira;7683
314570 Oliveira Fortes;12
314580 Onça de Pitangui;847
314585 Oratórios;938
314587 Orizânia;1672
314590 Ouro Branco;8664
314600 Ouro Fino;5862
314610 Ouro Preto;15259
314620 Ouro Verde de Minas;478
314625 Padre Carvalho;586
314630 Padre Paraíso;1469
314655 Pai Pedro;410
314640 Paineiras;230
314650 Pains;1173
314660 Paiva;344
314670 Palma;913
314675 Palmópolis;1069
314690 Papagaios;1954
314710 Pará de Minas;19509
314700 Paracatu;17919
314720 Paraguaçu;3130
314730 Paraisópolis;2986
314740 Paraopeba;3226
314760 Passa Quatro;1831
314770 Passa Tempo;2579
314780 Passa-Vinte;306
314750 Passabém;321
314790 Passos;26699
314795 Patis;172
314800 Patos de Minas;25334
314810 Patrocínio;14500
314820 Patrocínio do Muriaé;899
314830 Paula Cândido;2063
314840 Paulistas;662
314850 Pavão;759
314860 Peçanha;1908
314870 Pedra Azul;1940
314875 Pedra Bonita;2224
314880 Pedra do Anta;460
314890 Pedra do Indaiá;371
314900 Pedra Dourada;427
314910 Pedralva;2438
314915 Pedras de Maria da Cruz;304
314920 Pedrinópolis;191
314930 Pedro Leopoldo;9390
314940 Pedro Teixeira;1086
314950 Pequeri;832
314960 Pequi;770
314970 Perdigão;901
314980 Perdizes;704
314990 Perdões;2391
314995 Periquito;1563
315000 Pescador;387
315010 Piau;909
315015 Piedade de Caratinga;1444
315020 Piedade de Ponte Nova;141
315030 Piedade do Rio Grande;1278
315040 Piedade dos Gerais;431
315050 Pimenta;4582
315053 Pingo-d'Água;1170
315057 Pintópolis;110
315060 Piracema;1666
315070 Pirajuba;160
315080 Piranga;4276
315090 Piranguçu;1397
315100 Piranguinho;1202
315110 Pirapetinga;2231
315120 Pirapora;9378
315130 Piraúba;1678
315140 Pitangui;8659
315150 Piumhi;14525
315160 Planura;1827
315170 Poço Fundo;2710
315180 Poços de Caldas;20136
315190 Pocrane;2735
315200 Pompéu;4863
315210 Ponte Nova;10813
315213 Ponto Chique;324
315217 Ponto dos Volantes;789
315220 Porteirinha;4207
315230 Porto Firme;2073
315240 Poté;1820
315250 Pouso Alegre;33894
315260 Pouso Alto;921
315270 Prados;1571
315280 Prata;3994
315290 Pratápolis;2305
315300 Pratinha;94
315310 Presidente Bernardes;648
315320 Presidente Juscelino;388
315330 Presidente Kubitschek;596
315340 Presidente Olegário;990
315360 Prudente de Morais;4080
315370 Quartel Geral;807
315380 Queluzito;195
315390 Raposos;2974
315400 Raul Soares;3630
315410 Recreio;1187
315415 Reduto;915
315420 Resende Costa;3272
315430 Resplendor;3705
315440 Ressaquinha;875
315445 Riachinho;677
315450 Riacho dos Machados;681
315460 Ribeirão das Neves;41878
315470 Ribeirão Vermelho;152
315480 Rio Acima;1635
315490 Rio Casca;2478
315510 Rio do Prado;623
315500 Rio Doce;273
315520 Rio Espera;1228
315530 Rio Manso;751
315540 Rio Novo;1278
315550 Rio Paranaíba;1001
315560 Rio Pardo de Minas;2423
315570 Rio Piracicaba;4218
315580 Rio Pomba;4696
315590 Rio Preto;610
315600 Rio Vermelho;2031
315610 Ritápolis;1091
315620 Rochedo de Minas;98
315630 Rodeiro;2290
315640 Romaria;216
315645 Rosário da Limeira;1097
315650 Rubelita;651
315660 Rubim;1024
315670 Sabará;20672
315680 Sabinópolis;3521
315690 Sacramento;4191
315700 Salinas;6307
315710 Salto da Divisa;365
315720 Santa Bárbara;2314
315725 Santa Bárbara do Leste;1223
315727 Santa Bárbara do Monte Verde;892
315730 Santa Bárbara do Tugúrio;842
315733 Santa Cruz de Minas;2650
315737 Santa Cruz de Salinas;276
315740 Santa Cruz do Escalvado;213
315750 Santa Efigênia de Minas;540
315760 Santa Fé de Minas;324
315765 Santa Helena de Minas;123
315770 Santa Juliana;1159
315780 Santa Luzia;47651
315790 Santa Margarida;2002
315800 Santa Maria de Itabira;2601
315810 Santa Maria do Salto;525
315820 Santa Maria do Suaçuí;1605
315920 Santa Rita de Caldas;232
315940 Santa Rita de Ibitipoca;448
315930 Santa Rita de Jacutinga;651
315935 Santa Rita de Minas;1472
315950 Santa Rita do Itueto;816
315960 Santa Rita do Sapucaí;22509
315970 Santa Rosa da Serra;47
315980 Santa Vitória;2285
315830 Santana da Vargem;1326
315840 Santana de Cataguases;1057
315850 Santana de Pirapama;2701
315860 Santana do Deserto;1394
315870 Santana do Garambéu;670
315880 Santana do Jacaré;203
315890 Santana do Manhuaçu;1142
315895 Santana do Paraíso;9167
315900 Santana do Riacho;688
315910 Santana dos Montes;493
315990 Santo Antônio do Amparo;1768
316000 Santo Antônio do Aventureiro;416
316010 Santo Antônio do Grama;760
316020 Santo Antônio do Itambé;799
316030 Santo Antônio do Jacinto;2635
316040 Santo Antônio do Monte;4493
316045 Santo Antônio do Retiro;644
316050 Santo Antônio do Rio Abaixo;400
316060 Santo Hipólito;396
316070 Santos Dumont;8721
316080 São Bento Abade;730
316090 São Brás do Suaçuí;501
316095 São Domingos das Dores;1440
316100 São Domingos do Prata;4142
316105 São Félix de Minas;143
316110 São Francisco;2921
316120 São Francisco de Paula;1227
316130 São Francisco de Sales;544
316140 São Francisco do Glória;1119
316150 São Geraldo;1687
316160 São Geraldo da Piedade;759
316165 São Geraldo do Baixio;208
316170 São Gonçalo do Abaeté;244
316180 São Gonçalo do Pará;1114
316190 São Gonçalo do Rio Abaixo;1918
312550 São Gonçalo do Rio Preto;258
316200 São Gonçalo do Sapucaí;4495
316210 São Gotardo;2022
316220 São João Batista do Glória;3245
316225 São João da Lagoa;225
316230 São João da Mata;808
316240 São João da Ponte;2206
316245 São João das Missões;390
316250 São João del Rei;21606
316255 São João do Manhuaçu;1296
316257 São João do Manteninha;664
316260 São João do Oriente;3435
316265 São João do Pacuí;331
316270 São João do Paraíso;2894
316280 São João Evangelista;2401
316290 São João Nepomuceno;4519
316292 São Joaquim de Bicas;2620
316294 São José da Barra;2128
316295 São José da Lapa;2636
316300 São José da Safira;400
316310 São José da Varginha;1039
316320 São José do Alegre;1505
316330 São José do Divino;599
316340 São José do Goiabal;1575
316350 São José do Jacuri;657
316360 São José do Mantimento;99
316370 São Lourenço;10702
316380 São Miguel do Anta;1285
316390 São Pedro da União;769
316410 São Pedro do Suaçuí;767
316400 São Pedro dos Ferros;1304
316420 São Romão;486
316430 São Roque de Minas;1272
316440 São Sebastião da Bela Vista;3801
316443 São Sebastião da Vargem Alegre;536
316447 São Sebastião do Anta;1918
316450 São Sebastião do Maranhão;726
316460 São Sebastião do Oeste;886
316470 São Sebastião do Paraíso;16203
316480 São Sebastião do Rio Preto;900
316490 São Sebastião do Rio Verde;333
316520 São Thomé das Letras;1551
316500 São Tiago;3269
316510 São Tomás de Aquino;3487
316530 São Vicente de Minas;1269
316540 Sapucaí-Mirim;97
316550 Sardoá;724
316553 Sarzedo;2276
316556 Sem-Peixe;176
316557 Senador Amaral;1127
316560 Senador Cortes;165
316570 Senador Firmino;945
316580 Senador José Bento;1572
316590 Senador Modestino Gonçalves;625
316600 Senhora de Oliveira;925
316610 Senhora do Porto;596
316620 Senhora dos Remédios;3495
316630 Sericita;2131
316640 Seritinga;264
316650 Serra Azul de Minas;190
316660 Serra da Saudade;14
316680 Serra do Salitre;798
316670 Serra dos Aimorés;904
316690 Serrania;1511
316695 Serranópolis de Minas;366
316700 Serranos;105
316710 Serro;3630
316720 Sete Lagoas;34519
316555 Setubinha;1094
316730 Silveirânia;769
316740 Silvianópolis;972
316750 Simão Pereira;504
316760 Simonésia;1251
316770 Sobrália;954
316780 Soledade de Minas;1201
316790 Tabuleiro;509
316800 Taiobeiras;4548
316805 Taparuba;507
316810 Tapira;129
316820 Tapiraí;44
316830 Taquaraçu de Minas;711
316840 Tarumirim;2261
316850 Teixeiras;3494
316860 Teófilo Otoni;21355
316870 Timóteo;21702
316880 Tiradentes;3873
316890 Tiros;365
316900 Tocantins;2327
316905 Tocos do Moji;339
316910 Toledo;281
316920 Tombos;3027
316930 Três Corações;11201
316935 Três Marias;3627
316940 Três Pontas;8089
316950 Tumiritinga;1986
316960 Tupaciguara;4110
316970 Turmalina;1591
316980 Turvolândia;1047
316990 Ubá;19861
317000 Ubaí;701
317005 Ubaporanga;3016
317010 Uberaba;52906
317020 Uberlândia;189466
317030 Umburatiba;122
317040 Unaí;12746
317043 União de Minas;382
317047 Uruana de Minas;270
317050 Urucânia;1566
317052 Urucuia;447
317057 Vargem Alegre;1469
317060 Vargem Bonita;1175
317065 Vargem Grande do Rio Pardo;417
317070 Varginha;17834
317075 Varjão de Minas;82
317080 Várzea da Palma;3562
317090 Varzelândia;1571
317100 Vazante;1856
317103 Verdelândia;757
317107 Veredinha;905
317110 Veríssimo;321
317115 Vermelho Novo;1014
317120 Vespasiano;14509
317130 Viçosa;15223
317140 Vieiras;374
317160 Virgem da Lapa;266
317170 Virgínia;878
317180 Virginópolis;2070
317190 Virgolândia;599
317200 Visconde do Rio Branco;8546
317210 Volta Grande;805
317220 Wenceslau Braz;1434
320010 Afonso Cláudio;3298
320016 Água Doce do Norte;868
320013 Águia Branca;1010
320020 Alegre;405
320030 Alfredo Chaves;248
320035 Alto Rio Novo;1178
320040 Anchieta;967
320050 Apiacá;79
320060 Aracruz;1646
320070 Atilio Vivacqua;132
320080 Baixo Guandu;3824
320090 Barra de São Francisco;4989
320100 Boa Esperança;715
320110 Bom Jesus do Norte;552
320115 Brejetuba;120
320120 Cachoeiro de Itapemirim;906
320130 Cariacica;2361
320140 Castelo;927
320150 Colatina;22668
320160 Conceição da Barra;1871
320170 Conceição do Castelo;642
320180 Divino de São Lourenço;59
320190 Domingos Martins;3028
320200 Dores do Rio Preto;92
320210 Ecoporanga;1218
320220 Fundão;2782
320225 Governador Lindenberg;1606
320230 Guaçuí;34
320240 Guarapari;1070
320245 Ibatiba;478
320250 Ibiraçu;69
320255 Ibitirama;9
320260 Iconha;77
320265 Irupi;80
320270 Itaguaçu;628
