Número da Publicação,Assunto,Região,Estado,Total
GM 03566/2020,UTI,NORDESTE,CE,4320000.00
GM 03566/2020,UTI,NORDESTE,PE,2880000.00
GM 03566/2020,UTI,SUDESTE,MG,3888000.00
GM 03566/2020,UTI,SUDESTE,RJ,29952000.00
GM 03566/2020,UTI,SUDESTE,SP,19152000.00
GM 03566/2020,UTI,SUL,PR,3600000.00
GM 03566/2020,UTI,SUL,RS,4320000.00
GM 03566/2020,UTI,SUL,SC,7344000.00
GM 03566/2020,UTI,CENTRO-OESTE,MS,1440000.00
GM 03538/2020,UTI,NORDESTE,CE,1920000.00
GM 03538/2020,UTI,NORDESTE,PE,960000.00
GM 03538/2020,UTI,SUDESTE,MG,960000.00
GM 03538/2020,UTI,SUDESTE,SP,7776000.00
GM 03538/2020,UTI,SUL,PR,3648000.00
GM 03537/2020,UTI,SUDESTE,MG,1920000.00
GM 03537/2020,UTI,SUDESTE,SP,4704000.00
GM 03537/2020,UTI,CENTRO-OESTE,GO,3072000.00
GM 03537/2020,UTI,CENTRO-OESTE,MT,1440000.00
GM 03506/2020,UTI,NORDESTE,CE,3168000.00
GM 03506/2020,UTI,SUL,RS,3456000.00
GM 03499/2020,UTI,NORDESTE,CE,1920000.00
GM 03499/2020,UTI,SUL,PR,480000.00
GM 03499/2020,UTI,SUL,RS,2112000.00
GM 03498/2020,UTI,SUL,PR,2880000.00
GM 03498/2020,UTI,SUL,RS,1920000.00
GM 03498/2020,UTI,CENTRO-OESTE,GO,480000.00
GM 03490/2020,UTI,SUL,RS,2976000.00
GM 03490/2020,UTI,CENTRO-OESTE,GO,768000.00
GM 03489/2020,UTI,NORDESTE,CE,672000.00
GM 03489/2020,UTI,SUDESTE,MG,1920000.00
GM 03489/2020,UTI,SUDESTE,SP,4416000.00
GM 03489/2020,UTI,SUL,RS,960000.00
GM 03489/2020,UTI,SUL,SC,480000.00
GM 03489/2020,UTI,CENTRO-OESTE,MT,3360000.00
GM 03488/2020,UTI,SUL,RS,4320000.00
GM 03487/2020,UTI,NORDESTE,CE,2784000.00
GM 03487/2020,UTI,NORDESTE,PB,2880000.00
GM 03487/2020,UTI,SUL,PR,2304000.00
GM 03487/2020,UTI,SUL,RS,4608000.00
GM 03487/2020,UTI,CENTRO-OESTE,GO,1632000.00
GM 03486/2020,UTI,NORTE,TO,2112000.00
GM 03486/2020,UTI,NORDESTE,RN,960000.00
GM 03486/2020,UTI,SUDESTE,MG,14016000.00
GM 03486/2020,UTI,CENTRO-OESTE,GO,960000.00
GM 03483/2020,UTI,NORTE,TO,480000.00
GM 03483/2020,UTI,NORDESTE,AL,672000.00
GM 03483/2020,UTI,NORDESTE,CE,960000.00
GM 03483/2020,UTI,NORDESTE,RN,960000.00
GM 03483/2020,UTI,SUDESTE,MG,960000.00
GM 03483/2020,UTI,SUDESTE,SP,1536000.00
GM 03483/2020,UTI,CENTRO-OESTE,MS,672000.00
GM 03483/2020,UTI,CENTRO-OESTE,MT,960000.00
GM 03481/2020,UTI,NORDESTE,BA,1920000.00
GM 03481/2020,UTI,NORDESTE,PE,576000.00
GM 03481/2020,UTI,SUDESTE,MG,4800000.00
GM 03481/2020,UTI,SUL,RS,1632000.00
GM 03458/2020,UTI,NORDESTE,SE,5184000.00
GM 03458/2020,UTI,SUDESTE,MG,480000.00
GM 03458/2020,UTI,SUL,SC,2400000.00
GM 03457/2020,UTI,NORTE,AM,960000.00
GM 03457/2020,UTI,SUL,PR,7776000.00
GM 03457/2020,UTI,SUL,RS,4896000.00
GM 03456/2020,UTI,SUDESTE,SP,4992000.00
GM 03456/2020,UTI,SUL,SC,1920000.00
GM 03455/2020,UTI,SUDESTE,MG,1440000.00
GM 03455/2020,UTI,SUDESTE,SP,1344000.00
GM 03455/2020,UTI,SUL,SC,960000.00
GM 03454/2020,UTI,SUDESTE,ES,768000.00
GM 03454/2020,UTI,SUDESTE,MG,3072000.00
GM 03454/2020,UTI,SUDESTE,SP,7008000.00
GM 03454/2020,UTI,SUL,PR,12960000.00
GM 03454/2020,UTI,SUL,RS,480000.00
GM 03454/2020,UTI,CENTRO-OESTE,GO,7008000.00
GM 03453/2020,UTI,SUDESTE,SP,2208000.00
GM 03452/2020,UTI,NORTE,TO,864000.00
GM 03452/2020,UTI,NORDESTE,PE,2304000.00
GM 03452/2020,UTI,SUDESTE,RJ,864000.00
GM 03452/2020,UTI,SUL,PR,720000.00
GM 03452/2020,UTI,CENTRO-OESTE,MT,1440000.00
GM 03451/2020,UTI,SUDESTE,SP,3360000.00
GM 03450/2020,UTI,NORDESTE,BA,480000.00
GM 03450/2020,UTI,NORDESTE,PE,960000.00
GM 03450/2020,UTI,SUDESTE,SP,1344000.00
GM 03450/2020,UTI,SUL,RS,3168000.00
GM 03449/2020,UTI,NORDESTE,BA,5760000.00
GM 03449/2020,UTI,NORDESTE,CE,2880000.00
GM 03449/2020,UTI,NORDESTE,PB,2880000.00
GM 03449/2020,UTI,NORDESTE,PE,4320000.00
GM 03449/2020,UTI,NORDESTE,PI,1440000.00
GM 03449/2020,UTI,SUDESTE,ES,6480000.00
GM 03449/2020,UTI,SUDESTE,MG,4752000.00
GM 03449/2020,UTI,SUDESTE,RJ,7920000.00
GM 03449/2020,UTI,SUDESTE,SP,10800000.00
GM 03449/2020,UTI,SUL,PR,4464000.00
GM 03449/2020,UTI,SUL,RS,3888000.00
GM 03449/2020,UTI,SUL,SC,2880000.00
GM 03449/2020,UTI,CENTRO-OESTE,DF,9648000.00
GM 03449/2020,UTI,CENTRO-OESTE,MS,1440000.00
GM 03449/2020,UTI,CENTRO-OESTE,MT,1440000.00
GM 03448/2020,UTI,NORDESTE,BA,864000.00
GM 03448/2020,UTI,SUDESTE,ES,19488000.00
GM 03448/2020,UTI,SUDESTE,SP,5376000.00
GM 03448/2020,UTI,SUL,RS,1344000.00
GM 03448/2020,UTI,SUL,SC,1920000.00
GM 03447/2020,UTI,NORDESTE,BA,1440000.00
GM 03446/2020,UTI,SUL,RS,-480000.00
GM 03445/2020,UTI,NORTE,PA,1440000.00
GM 03445/2020,UTI,NORDESTE,BA,1440000.00
GM 03445/2020,UTI,NORDESTE,CE,1728000.00
GM 03445/2020,UTI,NORDESTE,PE,720000.00
GM 03445/2020,UTI,SUDESTE,MG,1584000.00
GM 03445/2020,UTI,SUDESTE,RJ,32112000.00
GM 03445/2020,UTI,SUDESTE,SP,18432000.00
GM 03445/2020,UTI,SUL,PR,3168000.00
GM 03445/2020,UTI,SUL,RS,4896000.00
GM 03445/2020,UTI,SUL,SC,2160000.00
GM 03444/2020,UTI,NORDESTE,BA,2880000.00
GM 03444/2020,UTI,SUDESTE,SP,960000.00
GM 03444/2020,UTI,SUL,RS,15360000.00
GM 03444/2020,UTI,SUL,SC,1440000.00
GM 03443/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUL,RS,143616.00
GM 03442/2020,UTI,SUDESTE,MG,1920000.00
GM 03442/2020,UTI,SUDESTE,SP,14880000.00
GM 03401/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,PB,330316.80
GM 03398/2020,UTI,NORDESTE,PE,6720000.00
GM 03398/2020,UTI,NORDESTE,SE,2880000.00
GM 03398/2020,UTI,SUDESTE,ES,1920000.00
GM 03398/2020,UTI,SUDESTE,MG,10464000.00
GM 03398/2020,UTI,SUDESTE,RJ,576000.00
GM 03398/2020,UTI,SUDESTE,SP,12480000.00
GM 03398/2020,UTI,SUL,SC,960000.00
GM 03383/2020,UTI,CENTRO-OESTE,MT,-720000.00
GM 03358/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,PI,100531.20
GM 03356/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUL,PR,28723.20
GM 03355/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,PB,28723.20
GM 03299/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,RJ,1105843.20
GM 03298/2020,UTI,NORTE,AM,480000.00
GM 03298/2020,UTI,NORDESTE,CE,816000.00
GM 03298/2020,UTI,NORDESTE,MA,480000.00
GM 03298/2020,UTI,SUDESTE,SP,5040000.00
GM 03298/2020,UTI,SUL,RS,7488000.00
GM 03298/2020,UTI,CENTRO-OESTE,MS,960000.00
GM 03298/2020,UTI,CENTRO-OESTE,MT,480000.00
GM 03296/2020,UTI,NORTE,TO,1056000.00
GM 03296/2020,UTI,NORDESTE,CE,336000.00
GM 03296/2020,UTI,NORDESTE,RN,480000.00
GM 03296/2020,UTI,SUDESTE,MG,1824000.00
GM 03296/2020,UTI,SUDESTE,SP,4752000.00
GM 03296/2020,UTI,SUL,RS,480000.00
GM 03296/2020,UTI,SUL,SC,480000.00
GM 03295/2020,UTI,NORTE,TO,240000.00
GM 03295/2020,UTI,NORDESTE,AL,336000.00
GM 03295/2020,UTI,NORDESTE,RN,480000.00
GM 03295/2020,UTI,SUDESTE,MG,1440000.00
GM 03295/2020,UTI,SUDESTE,RJ,1248000.00
GM 03295/2020,UTI,SUDESTE,SP,3504000.00
GM 03295/2020,UTI,SUL,PR,480000.00
GM 03295/2020,UTI,SUL,SC,240000.00
GM 03295/2020,UTI,CENTRO-OESTE,MS,336000.00
GM 03294/2020,UTI,NORTE,AM,4416000.00
GM 03294/2020,UTI,NORDESTE,BA,1920000.00
GM 03294/2020,UTI,SUDESTE,MG,960000.00
GM 03294/2020,UTI,SUDESTE,RJ,1920000.00
GM 03294/2020,UTI,SUDESTE,SP,11040000.00
GM 03294/2020,UTI,SUL,PR,1440000.00
GM 03294/2020,UTI,SUL,RS,1440000.00
GM 03294/2020,UTI,CENTRO-OESTE,GO,3360000.00
GM 03293/2020,UTI,SUDESTE,MG,1776000.00
GM 03293/2020,UTI,SUL,RS,480000.00
GM 03291/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,MA,71808.00
GM 03289/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,287232.00
GM 03288/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,PI,28723.20
GM 03287/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,28723.20
GM 03286/2020,UTI,NORDESTE,CE,1440000.00
GM 03286/2020,UTI,NORDESTE,PE,480000.00
GM 03286/2020,UTI,SUDESTE,SP,1728000.00
GM 03286/2020,UTI,SUL,PR,1344000.00
GM 03286/2020,UTI,CENTRO-OESTE,MT,960000.00
GM 03285/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,PE,1436160.00
GM 03284/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,RN,459571.20
GM 03283/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,CENTRO-OESTE,DF,1450521.60
GM 03282/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,MG,215424.00
GM 03281/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,287232.00
GM 03280/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,CENTRO-OESTE,MT,373401.60
GM 03279/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,CENTRO-OESTE,GO,287232.00
GM 03275/2020,UTI,NORTE,RO,480000.00
GM 03275/2020,UTI,NORDESTE,CE,480000.00
GM 03275/2020,UTI,SUDESTE,ES,384000.00
GM 03275/2020,UTI,SUDESTE,MG,4848000.00
GM 03275/2020,UTI,SUDESTE,SP,2304000.00
GM 03275/2020,UTI,SUL,PR,5760000.00
GM 03275/2020,UTI,SUL,RS,288000.00
GM 03272/2020,UTI,NORTE,RO,240000.00
GM 03272/2020,UTI,NORDESTE,PE,288000.00
GM 03272/2020,UTI,NORDESTE,PI,2544000.00
GM 03272/2020,UTI,SUDESTE,MG,960000.00
GM 03272/2020,UTI,SUL,RS,816000.00
GM 03271/2020,UTI,NORDESTE,CE,480000.00
GM 03271/2020,UTI,SUDESTE,MG,960000.00
GM 03271/2020,UTI,SUDESTE,SP,3216000.00
GM 03271/2020,UTI,SUL,PR,7200000.00
GM 03271/2020,UTI,SUL,SC,720000.00
GM 03271/2020,UTI,CENTRO-OESTE,DF,480000.00
GM 03256/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,1077120.00
GM 03255/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,MG,-689356.80
GM 03254/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUL,RS,86169.60
GM 03253/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,71808.00
GM 03252/2020,UTI,NORDESTE,BA,2880000.00
GM 03252/2020,UTI,NORDESTE,PB,3072000.00
GM 03252/2020,UTI,NORDESTE,PE,768000.00
GM 03252/2020,UTI,NORDESTE,PI,4320000.00
GM 03252/2020,UTI,SUDESTE,MG,2496000.00
GM 03252/2020,UTI,SUDESTE,SP,480000.00
GM 03252/2020,UTI,SUL,SC,2784000.00
GM 03250/2020,UTI,NORDESTE,BA,432000.00
GM 03250/2020,UTI,NORDESTE,CE,960000.00
GM 03250/2020,UTI,SUDESTE,MG,5184000.00
GM 03250/2020,UTI,SUL,PR,720000.00
GM 03250/2020,UTI,SUL,RS,1872000.00
GM 03250/2020,UTI,SUL,SC,240000.00
GM 03250/2020,UTI,CENTRO-OESTE,GO,240000.00
GM 03246/2020,UTI,NORDESTE,BA,240000.00
GM 03246/2020,UTI,NORDESTE,PE,480000.00
GM 03246/2020,UTI,SUDESTE,SP,1392000.00
GM 03246/2020,UTI,SUL,PR,5712000.00
GM 03246/2020,UTI,CENTRO-OESTE,GO,960000.00
GM 03246/2020,UTI,CENTRO-OESTE,MT,1680000.00
GM 03245/2020,UTI,NORDESTE,BA,2400000.00
GM 03245/2020,UTI,NORDESTE,PE,480000.00
GM 03245/2020,UTI,SUDESTE,MG,1584000.00
GM 03245/2020,UTI,SUDESTE,SP,480000.00
GM 03245/2020,UTI,SUL,RS,9360000.00
GM 03245/2020,UTI,SUL,SC,432000.00
GM 03220/2020,UTI,NORDESTE,PB,480000.00
GM 03220/2020,UTI,NORDESTE,PI,240000.00
GM 03220/2020,UTI,NORDESTE,SE,2592000.00
GM 03220/2020,UTI,SUDESTE,RJ,1056000.00
GM 03220/2020,UTI,SUDESTE,SP,864000.00
GM 03220/2020,UTI,SUL,SC,960000.00
GM 03220/2020,UTI,CENTRO-OESTE,MT,960000.00
GM 03219/2020,UTI,SUL,PR,480000.00
GM 03187/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,560102.40
GM 03174/2020,UTI,NORDESTE,PB,480000.00
GM 03174/2020,UTI,NORDESTE,PE,480000.00
GM 03174/2020,UTI,SUDESTE,MG,480000.00
GM 03174/2020,UTI,SUDESTE,SP,4320000.00
GM 03174/2020,UTI,SUL,SC,480000.00
GM 03174/2020,UTI,CENTRO-OESTE,MS,240000.00
GM 03161/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORTE,AM,100531.20
GM 03160/2020,UTI,NORDESTE,BA,960000.00
GM 03160/2020,UTI,NORDESTE,CE,3360000.00
GM 03160/2020,UTI,SUDESTE,ES,4800000.00
GM 03160/2020,UTI,SUDESTE,MG,1632000.00
GM 03160/2020,UTI,SUDESTE,RJ,1152000.00
GM 03160/2020,UTI,SUDESTE,SP,4416000.00
GM 03160/2020,UTI,SUL,PR,960000.00
GM 03160/2020,UTI,SUL,SC,960000.00
GM 03160/2020,UTI,CENTRO-OESTE,MS,480000.00
GM 03159/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUL,RS,172339.20
GM 03158/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,RJ,114892.80
GM 03157/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,BA,359040.00
GM 03143/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,PI,43084.80
GM 03142/2020,UTI,NORDESTE,BA,480000.00
GM 03142/2020,UTI,NORDESTE,CE,288000.00
GM 03142/2020,UTI,SUDESTE,ES,9744000.00
GM 03142/2020,UTI,SUDESTE,MG,1344000.00
GM 03142/2020,UTI,SUDESTE,SP,480000.00
GM 03142/2020,UTI,SUL,SC,1920000.00
GM 03142/2020,UTI,CENTRO-OESTE,GO,4272000.00
GM 03141/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,459571.20
GM 03140/2020,UTI,SUL,PR,-18000000.00
GM 03139/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,MA,71808.00
GM 03138/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUL,RS,129254.40
GM 03137/2020,UTI,NORDESTE,PE,16128000.00
GM 03137/2020,UTI,SUDESTE,SP,3744000.00
GM 03137/2020,UTI,SUL,PR,2880000.00
GM 03137/2020,UTI,SUL,SC,1440000.00
GM 03137/2020,UTI,CENTRO-OESTE,MT,1440000.00
GM 03136/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUL,PR,28723.20
GM 03135/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,MG,143616.00
GM 03134/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,430848.00
GM 03133/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUL,SC,402124.80
GM 03126/2020,UTI,SUDESTE,MG,240000.00
GM 03124/2020,UTI,NORTE,PA,480000.00
GM 03124/2020,UTI,NORTE,RR,960000.00
GM 03124/2020,UTI,NORDESTE,CE,960000.00
GM 03124/2020,UTI,SUDESTE,RJ,672000.00
GM 03124/2020,UTI,SUDESTE,SP,4512000.00
GM 03124/2020,UTI,SUL,RS,480000.00
GM 03124/2020,UTI,SUL,SC,3360000.00
GM 03124/2020,UTI,CENTRO-OESTE,DF,960000.00
GM 03124/2020,UTI,CENTRO-OESTE,MT,576000.00
GM 03123/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,CENTRO-OESTE,GO,143616.00
GM 03091/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,MG,71808.00
GM 03090/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,287232.00
GM 03089/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,MG,646272.00
GM 03074/2020,UTI,CENTRO-OESTE,MT,-288000.00
GM 03064/2020,UTI,NORTE,RO,240000.00
GM 03064/2020,UTI,NORDESTE,BA,960000.00
GM 03064/2020,UTI,NORDESTE,PI,2544000.00
GM 03064/2020,UTI,SUDESTE,MG,1200000.00
GM 03063/2020,UTI,NORDESTE,CE,480000.00
GM 03063/2020,UTI,SUDESTE,SP,5808000.00
GM 03063/2020,UTI,SUL,RS,5184000.00
GM 03063/2020,UTI,SUL,SC,288000.00
GM 03062/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,588825.60
GM 03061/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,373401.60
GM 03060/2020,UTI,NORDESTE,BA,528000.00
GM 03060/2020,UTI,NORDESTE,CE,816000.00
GM 03060/2020,UTI,SUDESTE,SP,720000.00
GM 03060/2020,UTI,SUL,RS,1824000.00
GM 03060/2020,UTI,CENTRO-OESTE,MS,960000.00
GM 03059/2020,UTI,NORDESTE,PI,480000.00
GM 03059/2020,UTI,NORDESTE,RN,528000.00
GM 03059/2020,UTI,SUDESTE,MG,1632000.00
GM 03059/2020,UTI,SUDESTE,SP,6912000.00
GM 03059/2020,UTI,SUL,RS,240000.00
GM 03059/2020,UTI,CENTRO-OESTE,GO,384000.00
GM 03051/2020,UTI,NORDESTE,CE,960000.00
GM 03051/2020,UTI,SUL,SC,720000.00
GM 03040/2020,UTI,NORTE,AM,480000.00
GM 03040/2020,UTI,NORDESTE,MA,480000.00
GM 03040/2020,UTI,SUDESTE,ES,960000.00
GM 03040/2020,UTI,CENTRO-OESTE,DF,480000.00
GM 03040/2020,UTI,CENTRO-OESTE,GO,960000.00
GM 03039/2020,UTI,SUDESTE,MG,1104000.00
GM 03039/2020,UTI,SUL,RS,240000.00
GM 03038/2020,UTI,SUDESTE,MG,960000.00
GM 03038/2020,UTI,SUDESTE,SP,2784000.00
GM 03038/2020,UTI,CENTRO-OESTE,MT,480000.00
GM 03037/2020,UTI,NORTE,AM,4416000.00
GM 03036/2020,UTI,SUDESTE,MG,480000.00
GM 03036/2020,UTI,SUDESTE,SP,624000.00
GM 03036/2020,UTI,SUL,PR,480000.00
GM 03035/2020,UTI,NORDESTE,BA,1872000.00
GM 03035/2020,UTI,NORDESTE,RN,144000.00
GM 03035/2020,UTI,SUDESTE,MG,960000.00
GM 03035/2020,UTI,SUDESTE,SP,240000.00
GM 03034/2020,UTI,SUDESTE,MG,1296000.00
GM 03034/2020,UTI,SUL,SC,432000.00
GM 03033/2020,UTI,NORTE,AC,480000.00
GM 03033/2020,UTI,NORDESTE,BA,1920000.00
GM 03033/2020,UTI,SUDESTE,MG,960000.00
GM 03033/2020,UTI,SUDESTE,RJ,1920000.00
