Número_da_Publicação,Assunto,Região,Estado, Total 
GM 03576/2020,UTI,SUDESTE,SP," R$ 31,392,000.00 "
GM 03576/2020,UTI,SUL,PR," R$ 7,200,000.00 "
GM 03576/2020,UTI,SUL,RS," R$ 9,072,000.00 "
GM 03576/2020,UTI,SUL,SC," R$ 11,232,000.00 "
GM 03576/2020,UTI,CENTRO-OESTE,MS," R$ 8,064,000.00 "
GM 03576/2020,UTI,CENTRO-OESTE,MT," R$ 4,320,000.00 "
GM 03575/2020,UTI,SUDESTE,SP," R$ 12,192,000.00 "
GM 03574/2020,UTI,NORTE,AM," R$ 8,832,000.00 "
GM 03574/2020,UTI,SUDESTE,SP," R$ 5,760,000.00 "
GM 03574/2020,UTI,SUL,RS," R$ 960,000.00 "
GM 03574/2020,UTI,CENTRO-OESTE,GO," R$ 960,000.00 "
GM 03573/2020,UTI,NORDESTE,MA," R$ 768,000.00 "
GM 03573/2020,UTI,SUDESTE,MG," R$ 5,760,000.00 "
GM 03573/2020,UTI,SUDESTE,SP," R$ 2,880,000.00 "
GM 03571/2020,UTI,NORDESTE,PI," R$ 5,088,000.00 "
GM 03571/2020,UTI,SUDESTE,MG," R$ 3,264,000.00 "
GM 03570/2020,UTI,NORTE,AM," R$ 720,000.00 "
GM 03570/2020,UTI,NORDESTE,AL," R$ 1,440,000.00 "
GM 03570/2020,UTI,SUDESTE,MG," R$ 720,000.00 "
GM 03567/2020,UTI,NORTE,RO," R$ 960,000.00 "
GM 03567/2020,UTI,NORDESTE,CE," R$ 960,000.00 "
GM 03567/2020,UTI,SUDESTE,MG," R$ 8,256,000.00 "
GM 03567/2020,UTI,SUDESTE,SP," R$ 576,000.00 "
GM 03567/2020,UTI,SUL,SC," R$ 960,000.00 "
GM 03566/2020,UTI,NORTE,AC," R$ 1,440,000.00 "
GM 03566/2020,UTI,NORTE,AM," R$ 7,920,000.00 "
GM 03566/2020,UTI,NORTE,TO," R$ 3,600,000.00 "
GM 03566/2020,UTI,NORDESTE,AL," R$ 8,928,000.00 "
GM 03566/2020,UTI,NORDESTE,BA," R$ 2,880,000.00 "
GM 03566/2020,UTI,NORDESTE,CE," R$ 4,320,000.00 "
GM 03566/2020,UTI,NORDESTE,PE," R$ 2,880,000.00 "
GM 03566/2020,UTI,SUDESTE,MG," R$ 3,888,000.00 "
GM 03566/2020,UTI,SUDESTE,RJ," R$ 29,952,000.00 "
GM 03566/2020,UTI,SUDESTE,SP," R$ 19,152,000.00 "
GM 03566/2020,UTI,SUL,PR," R$ 3,600,000.00 "
GM 03566/2020,UTI,SUL,RS," R$ 4,320,000.00 "
GM 03566/2020,UTI,SUL,SC," R$ 7,344,000.00 "
GM 03566/2020,UTI,CENTRO-OESTE,MS," R$ 1,440,000.00 "
GM 03538/2020,UTI,NORDESTE,CE," R$ 1,920,000.00 "
GM 03538/2020,UTI,NORDESTE,PE," R$ 960,000.00 "
GM 03538/2020,UTI,SUDESTE,MG," R$ 960,000.00 "
GM 03538/2020,UTI,SUDESTE,SP," R$ 7,776,000.00 "
GM 03538/2020,UTI,SUL,PR," R$ 3,648,000.00 "
GM 03537/2020,UTI,SUDESTE,MG," R$ 1,920,000.00 "
GM 03537/2020,UTI,SUDESTE,SP," R$ 4,704,000.00 "
GM 03537/2020,UTI,CENTRO-OESTE,GO," R$ 3,072,000.00 "
GM 03537/2020,UTI,CENTRO-OESTE,MT," R$ 1,440,000.00 "
GM 03506/2020,UTI,NORDESTE,CE," R$ 3,168,000.00 "
GM 03506/2020,UTI,SUL,RS," R$ 3,456,000.00 "
GM 03499/2020,UTI,NORDESTE,CE," R$ 1,920,000.00 "
GM 03499/2020,UTI,SUL,PR," R$ 480,000.00 "
GM 03499/2020,UTI,SUL,RS," R$ 2,112,000.00 "
GM 03498/2020,UTI,SUL,PR," R$ 2,880,000.00 "
GM 03498/2020,UTI,SUL,RS," R$ 1,920,000.00 "
GM 03498/2020,UTI,CENTRO-OESTE,GO," R$ 480,000.00 "
GM 03490/2020,UTI,SUL,RS," R$ 2,976,000.00 "
GM 03490/2020,UTI,CENTRO-OESTE,GO," R$ 768,000.00 "
GM 03489/2020,UTI,NORDESTE,CE," R$ 672,000.00 "
GM 03489/2020,UTI,SUDESTE,MG," R$ 1,920,000.00 "
GM 03489/2020,UTI,SUDESTE,SP," R$ 4,416,000.00 "
GM 03489/2020,UTI,SUL,RS," R$ 960,000.00 "
GM 03489/2020,UTI,SUL,SC," R$ 480,000.00 "
GM 03489/2020,UTI,CENTRO-OESTE,MT," R$ 3,360,000.00 "
GM 03488/2020,UTI,SUL,RS," R$ 4,320,000.00 "
GM 03487/2020,UTI,NORDESTE,CE," R$ 2,784,000.00 "
GM 03487/2020,UTI,NORDESTE,PB," R$ 2,880,000.00 "
GM 03487/2020,UTI,SUL,PR," R$ 2,304,000.00 "
GM 03487/2020,UTI,SUL,RS," R$ 4,608,000.00 "
GM 03487/2020,UTI,CENTRO-OESTE,GO," R$ 1,632,000.00 "
GM 03486/2020,UTI,NORTE,TO," R$ 2,112,000.00 "
GM 03486/2020,UTI,NORDESTE,RN," R$ 960,000.00 "
GM 03486/2020,UTI,SUDESTE,MG," R$ 14,016,000.00 "
GM 03486/2020,UTI,CENTRO-OESTE,GO," R$ 960,000.00 "
GM 03483/2020,UTI,NORTE,TO," R$ 480,000.00 "
GM 03483/2020,UTI,NORDESTE,AL," R$ 672,000.00 "
GM 03483/2020,UTI,NORDESTE,CE," R$ 960,000.00 "
GM 03483/2020,UTI,NORDESTE,RN," R$ 960,000.00 "
GM 03483/2020,UTI,SUDESTE,MG," R$ 960,000.00 "
GM 03483/2020,UTI,SUDESTE,SP," R$ 1,536,000.00 "
GM 03483/2020,UTI,CENTRO-OESTE,MS," R$ 672,000.00 "
GM 03483/2020,UTI,CENTRO-OESTE,MT," R$ 960,000.00 "
GM 03481/2020,UTI,NORDESTE,BA," R$ 1,920,000.00 "
GM 03481/2020,UTI,NORDESTE,PE," R$ 576,000.00 "
GM 03481/2020,UTI,SUDESTE,MG," R$ 4,800,000.00 "
GM 03481/2020,UTI,SUL,RS," R$ 1,632,000.00 "
GM 03458/2020,UTI,NORDESTE,SE," R$ 5,184,000.00 "
GM 03458/2020,UTI,SUDESTE,MG," R$ 480,000.00 "
GM 03458/2020,UTI,SUL,SC," R$ 2,400,000.00 "
GM 03457/2020,UTI,NORTE,AM," R$ 960,000.00 "
GM 03457/2020,UTI,SUL,PR," R$ 7,776,000.00 "
GM 03457/2020,UTI,SUL,RS," R$ 4,896,000.00 "
GM 03456/2020,UTI,SUDESTE,SP," R$ 4,992,000.00 "
GM 03456/2020,UTI,SUL,SC," R$ 1,920,000.00 "
GM 03455/2020,UTI,SUDESTE,MG," R$ 1,440,000.00 "
GM 03455/2020,UTI,SUDESTE,SP," R$ 1,344,000.00 "
GM 03455/2020,UTI,SUL,SC," R$ 960,000.00 "
GM 03454/2020,UTI,SUDESTE,ES," R$ 768,000.00 "
GM 03454/2020,UTI,SUDESTE,MG," R$ 3,072,000.00 "
GM 03454/2020,UTI,SUDESTE,SP," R$ 7,008,000.00 "
GM 03454/2020,UTI,SUL,PR," R$ 12,960,000.00 "
GM 03454/2020,UTI,SUL,RS," R$ 480,000.00 "
GM 03454/2020,UTI,CENTRO-OESTE,GO," R$ 7,008,000.00 "
GM 03453/2020,UTI,SUDESTE,SP," R$ 2,208,000.00 "
GM 03452/2020,UTI,NORTE,TO," R$ 864,000.00 "
GM 03452/2020,UTI,NORDESTE,PE," R$ 2,304,000.00 "
GM 03452/2020,UTI,SUDESTE,RJ," R$ 864,000.00 "
GM 03452/2020,UTI,SUL,PR," R$ 720,000.00 "
GM 03452/2020,UTI,CENTRO-OESTE,MT," R$ 1,440,000.00 "
GM 03451/2020,UTI,SUDESTE,SP," R$ 3,360,000.00 "
GM 03450/2020,UTI,NORDESTE,BA," R$ 480,000.00 "
GM 03450/2020,UTI,NORDESTE,PE," R$ 960,000.00 "
GM 03450/2020,UTI,SUDESTE,SP," R$ 1,344,000.00 "
GM 03450/2020,UTI,SUL,RS," R$ 3,168,000.00 "
GM 03449/2020,UTI,NORDESTE,BA," R$ 5,760,000.00 "
GM 03449/2020,UTI,NORDESTE,CE," R$ 2,880,000.00 "
GM 03449/2020,UTI,NORDESTE,PB," R$ 2,880,000.00 "
GM 03449/2020,UTI,NORDESTE,PE," R$ 4,320,000.00 "
GM 03449/2020,UTI,NORDESTE,PI," R$ 1,440,000.00 "
GM 03449/2020,UTI,SUDESTE,ES," R$ 6,480,000.00 "
GM 03449/2020,UTI,SUDESTE,MG," R$ 4,752,000.00 "
GM 03449/2020,UTI,SUDESTE,RJ," R$ 7,920,000.00 "
GM 03449/2020,UTI,SUDESTE,SP," R$ 10,800,000.00 "
GM 03449/2020,UTI,SUL,PR," R$ 4,464,000.00 "
GM 03449/2020,UTI,SUL,RS," R$ 3,888,000.00 "
GM 03449/2020,UTI,SUL,SC," R$ 2,880,000.00 "
GM 03449/2020,UTI,CENTRO-OESTE,DF," R$ 9,648,000.00 "
GM 03449/2020,UTI,CENTRO-OESTE,MS," R$ 1,440,000.00 "
GM 03449/2020,UTI,CENTRO-OESTE,MT," R$ 1,440,000.00 "
GM 03448/2020,UTI,NORDESTE,BA," R$ 864,000.00 "
GM 03448/2020,UTI,SUDESTE,ES," R$ 19,488,000.00 "
GM 03448/2020,UTI,SUDESTE,SP," R$ 5,376,000.00 "
GM 03448/2020,UTI,SUL,RS," R$ 1,344,000.00 "
GM 03448/2020,UTI,SUL,SC," R$ 1,920,000.00 "
GM 03447/2020,UTI,NORDESTE,BA," R$ 1,440,000.00 "
GM 03446/2020,UTI,SUL,RS,"-R$ 480,000.00 "
GM 03445/2020,UTI,NORTE,PA," R$ 1,440,000.00 "
GM 03445/2020,UTI,NORDESTE,BA," R$ 1,440,000.00 "
GM 03445/2020,UTI,NORDESTE,CE," R$ 1,728,000.00 "
GM 03445/2020,UTI,NORDESTE,PE," R$ 720,000.00 "
GM 03445/2020,UTI,SUDESTE,MG," R$ 1,584,000.00 "
GM 03445/2020,UTI,SUDESTE,RJ," R$ 32,112,000.00 "
GM 03445/2020,UTI,SUDESTE,SP," R$ 18,432,000.00 "
GM 03445/2020,UTI,SUL,PR," R$ 3,168,000.00 "
GM 03445/2020,UTI,SUL,RS," R$ 4,896,000.00 "
GM 03445/2020,UTI,SUL,SC," R$ 2,160,000.00 "
GM 03444/2020,UTI,NORDESTE,BA," R$ 2,880,000.00 "
GM 03444/2020,UTI,SUDESTE,SP," R$ 960,000.00 "
GM 03444/2020,UTI,SUL,RS," R$ 15,360,000.00 "
GM 03444/2020,UTI,SUL,SC," R$ 1,440,000.00 "
GM 03443/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUL,RS," R$ 143,616.00 "
GM 03442/2020,UTI,SUDESTE,MG," R$ 1,920,000.00 "
GM 03442/2020,UTI,SUDESTE,SP," R$ 14,880,000.00 "
GM 03401/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,PB," R$ 330,316.80 "
GM 03398/2020,UTI,NORDESTE,PE," R$ 6,720,000.00 "
GM 03398/2020,UTI,NORDESTE,SE," R$ 2,880,000.00 "
GM 03398/2020,UTI,SUDESTE,ES," R$ 1,920,000.00 "
GM 03398/2020,UTI,SUDESTE,MG," R$ 10,464,000.00 "
GM 03398/2020,UTI,SUDESTE,RJ," R$ 576,000.00 "
GM 03398/2020,UTI,SUDESTE,SP," R$ 12,480,000.00 "
GM 03398/2020,UTI,SUL,SC," R$ 960,000.00 "
GM 03383/2020,UTI,CENTRO-OESTE,MT,"-R$ 720,000.00 "
GM 03358/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,PI," R$ 100,531.20 "
GM 03356/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUL,PR," R$ 28,723.20 "
GM 03355/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,PB," R$ 28,723.20 "
GM 03299/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,RJ," R$ 1,105,843.20 "
GM 03298/2020,UTI,NORTE,AM," R$ 480,000.00 "
GM 03298/2020,UTI,NORDESTE,CE," R$ 816,000.00 "
GM 03298/2020,UTI,NORDESTE,MA," R$ 480,000.00 "
GM 03298/2020,UTI,SUDESTE,SP," R$ 5,040,000.00 "
GM 03298/2020,UTI,SUL,RS," R$ 7,488,000.00 "
GM 03298/2020,UTI,CENTRO-OESTE,MS," R$ 960,000.00 "
GM 03298/2020,UTI,CENTRO-OESTE,MT," R$ 480,000.00 "
GM 03296/2020,UTI,NORTE,TO," R$ 1,056,000.00 "
GM 03296/2020,UTI,NORDESTE,CE," R$ 336,000.00 "
GM 03296/2020,UTI,NORDESTE,RN," R$ 480,000.00 "
GM 03296/2020,UTI,SUDESTE,MG," R$ 1,824,000.00 "
GM 03296/2020,UTI,SUDESTE,SP," R$ 4,752,000.00 "
GM 03296/2020,UTI,SUL,RS," R$ 480,000.00 "
GM 03296/2020,UTI,SUL,SC," R$ 480,000.00 "
GM 03295/2020,UTI,NORTE,TO," R$ 240,000.00 "
GM 03295/2020,UTI,NORDESTE,AL," R$ 336,000.00 "
GM 03295/2020,UTI,NORDESTE,RN," R$ 480,000.00 "
GM 03295/2020,UTI,SUDESTE,MG," R$ 1,440,000.00 "
GM 03295/2020,UTI,SUDESTE,RJ," R$ 1,248,000.00 "
GM 03295/2020,UTI,SUDESTE,SP," R$ 3,504,000.00 "
GM 03295/2020,UTI,SUL,PR," R$ 480,000.00 "
GM 03295/2020,UTI,SUL,SC," R$ 240,000.00 "
GM 03295/2020,UTI,CENTRO-OESTE,MS," R$ 336,000.00 "
GM 03294/2020,UTI,NORTE,AM," R$ 4,416,000.00 "
GM 03294/2020,UTI,NORDESTE,BA," R$ 1,920,000.00 "
GM 03294/2020,UTI,SUDESTE,MG," R$ 960,000.00 "
GM 03294/2020,UTI,SUDESTE,RJ," R$ 1,920,000.00 "
GM 03294/2020,UTI,SUDESTE,SP," R$ 11,040,000.00 "
GM 03294/2020,UTI,SUL,PR," R$ 1,440,000.00 "
GM 03294/2020,UTI,SUL,RS," R$ 1,440,000.00 "
GM 03294/2020,UTI,CENTRO-OESTE,GO," R$ 3,360,000.00 "
GM 03293/2020,UTI,SUDESTE,MG," R$ 1,776,000.00 "
GM 03293/2020,UTI,SUL,RS," R$ 480,000.00 "
GM 03291/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,MA," R$ 71,808.00 "
GM 03289/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP," R$ 287,232.00 "
GM 03288/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,PI," R$ 28,723.20 "
GM 03287/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP," R$ 28,723.20 "
GM 03286/2020,UTI,NORDESTE,CE," R$ 1,440,000.00 "
GM 03286/2020,UTI,NORDESTE,PE," R$ 480,000.00 "
GM 03286/2020,UTI,SUDESTE,SP," R$ 1,728,000.00 "
GM 03286/2020,UTI,SUL,PR," R$ 1,344,000.00 "
GM 03286/2020,UTI,CENTRO-OESTE,MT," R$ 960,000.00 "
GM 03285/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,PE," R$ 1,436,160.00 "
GM 03284/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,RN," R$ 459,571.20 "
GM 03283/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,CENTRO-OESTE,DF," R$ 1,450,521.60 "
GM 03282/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,MG," R$ 215,424.00 "
GM 03281/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP," R$ 287,232.00 "
GM 03280/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,CENTRO-OESTE,MT," R$ 373,401.60 "
GM 03279/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,CENTRO-OESTE,GO," R$ 287,232.00 "
GM 03275/2020,UTI,NORTE,RO," R$ 480,000.00 "
GM 03275/2020,UTI,NORDESTE,CE," R$ 480,000.00 "
GM 03275/2020,UTI,SUDESTE,ES," R$ 384,000.00 "
GM 03275/2020,UTI,SUDESTE,MG," R$ 4,848,000.00 "
GM 03275/2020,UTI,SUDESTE,SP," R$ 2,304,000.00 "
GM 03275/2020,UTI,SUL,PR," R$ 5,760,000.00 "
GM 03275/2020,UTI,SUL,RS," R$ 288,000.00 "
GM 03272/2020,UTI,NORTE,RO," R$ 240,000.00 "
GM 03272/2020,UTI,NORDESTE,PE," R$ 288,000.00 "
GM 03272/2020,UTI,NORDESTE,PI," R$ 2,544,000.00 "
GM 03272/2020,UTI,SUDESTE,MG," R$ 960,000.00 "
GM 03272/2020,UTI,SUL,RS," R$ 816,000.00 "
GM 03271/2020,UTI,NORDESTE,CE," R$ 480,000.00 "
GM 03271/2020,UTI,SUDESTE,MG," R$ 960,000.00 "
GM 03271/2020,UTI,SUDESTE,SP," R$ 3,216,000.00 "
GM 03271/2020,UTI,SUL,PR," R$ 7,200,000.00 "
GM 03271/2020,UTI,SUL,SC," R$ 720,000.00 "
GM 03271/2020,UTI,CENTRO-OESTE,DF," R$ 480,000.00 "
GM 03256/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP," R$ 1,077,120.00 "
GM 03255/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,MG,"-R$ 689,356.80 "
GM 03254/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUL,RS," R$ 86,169.60 "
GM 03253/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP," R$ 71,808.00 "
GM 03252/2020,UTI,NORDESTE,BA," R$ 2,880,000.00 "
GM 03252/2020,UTI,NORDESTE,PB," R$ 3,072,000.00 "
GM 03252/2020,UTI,NORDESTE,PE," R$ 768,000.00 "
GM 03252/2020,UTI,NORDESTE,PI," R$ 4,320,000.00 "
GM 03252/2020,UTI,SUDESTE,MG," R$ 2,496,000.00 "
GM 03252/2020,UTI,SUDESTE,SP," R$ 480,000.00 "
GM 03252/2020,UTI,SUL,SC," R$ 2,784,000.00 "
GM 03250/2020,UTI,NORDESTE,BA," R$ 432,000.00 "
GM 03250/2020,UTI,NORDESTE,CE," R$ 960,000.00 "
GM 03250/2020,UTI,SUDESTE,MG," R$ 5,184,000.00 "
GM 03250/2020,UTI,SUL,PR," R$ 720,000.00 "
GM 03250/2020,UTI,SUL,RS," R$ 1,872,000.00 "
GM 03250/2020,UTI,SUL,SC," R$ 240,000.00 "
GM 03250/2020,UTI,CENTRO-OESTE,GO," R$ 240,000.00 "
GM 03246/2020,UTI,NORDESTE,BA," R$ 240,000.00 "
GM 03246/2020,UTI,NORDESTE,PE," R$ 480,000.00 "
GM 03246/2020,UTI,SUDESTE,SP," R$ 1,392,000.00 "
GM 03246/2020,UTI,SUL,PR," R$ 5,712,000.00 "
GM 03246/2020,UTI,CENTRO-OESTE,GO," R$ 960,000.00 "
GM 03246/2020,UTI,CENTRO-OESTE,MT," R$ 1,680,000.00 "
GM 03245/2020,UTI,NORDESTE,BA," R$ 2,400,000.00 "
GM 03245/2020,UTI,NORDESTE,PE," R$ 480,000.00 "
GM 03245/2020,UTI,SUDESTE,MG," R$ 1,584,000.00 "
GM 03245/2020,UTI,SUDESTE,SP," R$ 480,000.00 "
GM 03245/2020,UTI,SUL,RS," R$ 9,360,000.00 "
GM 03245/2020,UTI,SUL,SC," R$ 432,000.00 "
GM 03220/2020,UTI,NORDESTE,PB," R$ 480,000.00 "
GM 03220/2020,UTI,NORDESTE,PI," R$ 240,000.00 "
GM 03220/2020,UTI,NORDESTE,SE," R$ 2,592,000.00 "
GM 03220/2020,UTI,SUDESTE,RJ," R$ 1,056,000.00 "
GM 03220/2020,UTI,SUDESTE,SP," R$ 864,000.00 "
GM 03220/2020,UTI,SUL,SC," R$ 960,000.00 "
GM 03220/2020,UTI,CENTRO-OESTE,MT," R$ 960,000.00 "
GM 03219/2020,UTI,SUL,PR," R$ 480,000.00 "
GM 03187/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP," R$ 560,102.40 "
GM 03174/2020,UTI,NORDESTE,PB," R$ 480,000.00 "
GM 03174/2020,UTI,NORDESTE,PE," R$ 480,000.00 "
GM 03174/2020,UTI,SUDESTE,MG," R$ 480,000.00 "
GM 03174/2020,UTI,SUDESTE,SP," R$ 4,320,000.00 "
GM 03174/2020,UTI,SUL,SC," R$ 480,000.00 "
GM 03174/2020,UTI,CENTRO-OESTE,MS," R$ 240,000.00 "
GM 03161/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORTE,AM," R$ 100,531.20 "
GM 03160/2020,UTI,NORDESTE,BA," R$ 960,000.00 "
GM 03160/2020,UTI,NORDESTE,CE," R$ 3,360,000.00 "
GM 03160/2020,UTI,SUDESTE,ES," R$ 4,800,000.00 "
GM 03160/2020,UTI,SUDESTE,MG," R$ 1,632,000.00 "
GM 03160/2020,UTI,SUDESTE,RJ," R$ 1,152,000.00 "
GM 03160/2020,UTI,SUDESTE,SP," R$ 4,416,000.00 "
GM 03160/2020,UTI,SUL,PR," R$ 960,000.00 "
GM 03160/2020,UTI,SUL,SC," R$ 960,000.00 "
GM 03160/2020,UTI,CENTRO-OESTE,MS," R$ 480,000.00 "
GM 03159/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUL,RS," R$ 172,339.20 "
GM 03158/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,RJ," R$ 114,892.80 "
